Probe Set Name	Description
ENSG00000108107_at	ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]
ENSG00000108175_at	zinc finger, MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]
ENSG00000108176_at	DnaJ (Hsp40) homolog, subfamily C, member 12 [Source:HGNC Symbol;Acc:HGNC:28908]
ENSG00000108179_at	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
ENSG00000108187_at	phenazine biosynthesis-like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]
ENSG00000108219_at	tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]
ENSG00000108231_at	leucine-rich, glioma inactivated 1 [Source:HGNC Symbol;Acc:HGNC:6572]
ENSG00000108244_at	keratin 23, type I [Source:HGNC Symbol;Acc:HGNC:6438]
ENSG00000108255_at	crystallin, beta A1 [Source:HGNC Symbol;Acc:HGNC:2394]
ENSG00000108262_at	G protein-coupled receptor kinase interacting ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]
ENSG00000108309_at	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]
ENSG00000108312_at	upstream binding transcription factor, RNA polymerase I [Source:HGNC Symbol;Acc:HGNC:12511]
ENSG00000108342_at	colony stimulating factor 3 (granulocyte) [Source:HGNC Symbol;Acc:HGNC:2438]
ENSG00000108344_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3 [Source:HGNC Symbol;Acc:HGNC:9560]
ENSG00000108349_at	cancer susceptibility candidate 3 [Source:HGNC Symbol;Acc:HGNC:17040]
ENSG00000108352_at	Rap guanine nucleotide exchange factor (GEF)-like 1 [Source:HGNC Symbol;Acc:HGNC:17428]
ENSG00000108370_at	regulator of G-protein signaling 9 [Source:HGNC Symbol;Acc:HGNC:10004]
ENSG00000108375_at	ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]
ENSG00000108379_at	wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:HGNC:12782]
ENSG00000108381_at	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]
ENSG00000108384_at	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]
ENSG00000108387_at	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]
ENSG00000108389_at	myotubularin related protein 4 [Source:HGNC Symbol;Acc:HGNC:7452]
ENSG00000108395_at	tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]
ENSG00000108405_at	purinergic receptor P2X, ligand gated ion channel, 1 [Source:HGNC Symbol;Acc:HGNC:8533]
ENSG00000108406_at	DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:HGNC Symbol;Acc:HGNC:18018]
ENSG00000108417_at	keratin 37, type I [Source:HGNC Symbol;Acc:HGNC:6455]
ENSG00000108423_at	tubulin, delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]
ENSG00000108424_at	karyopherin (importin) beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]
ENSG00000108465_at	CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18673]
ENSG00000108469_at	RecQ protein-like 5 [Source:HGNC Symbol;Acc:HGNC:9950]
ENSG00000108474_at	phosphatidylinositol glycan anchor biosynthesis, class L [Source:HGNC Symbol;Acc:HGNC:8966]
ENSG00000108479_at	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]
ENSG00000108509_at	calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]
ENSG00000108510_at	mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]
ENSG00000108515_at	enolase 3 (beta, muscle) [Source:HGNC Symbol;Acc:HGNC:3354]
ENSG00000108518_at	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]
ENSG00000108523_at	ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]
ENSG00000108528_at	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11 [Source:HGNC Symbol;Acc:HGNC:10981]
ENSG00000108556_at	cholinergic receptor, nicotinic, epsilon (muscle) [Source:HGNC Symbol;Acc:HGNC:1966]
ENSG00000108557_at	retinoic acid induced 1 [Source:HGNC Symbol;Acc:HGNC:9834]
ENSG00000108559_at	nucleoporin 88kDa [Source:HGNC Symbol;Acc:HGNC:8067]
ENSG00000108561_at	complement component 1, q subcomponent binding protein [Source:HGNC Symbol;Acc:HGNC:1243]
ENSG00000108576_at	solute carrier family 6 (neurotransmitter transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:11050]
ENSG00000108578_at	bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]
ENSG00000108582_at	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]
ENSG00000108587_at	golgi SNAP receptor complex member 1 [Source:HGNC Symbol;Acc:HGNC:4430]
ENSG00000108590_at	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]
ENSG00000108591_at	developmentally regulated GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3030]
ENSG00000108592_at	FtsJ homolog 3 (E. coli) [Source:HGNC Symbol;Acc:HGNC:17136]
ENSG00000108599_at	A kinase (PRKA) anchor protein 10 [Source:HGNC Symbol;Acc:HGNC:368]
ENSG00000108602_at	aldehyde dehydrogenase 3 family, member A1 [Source:HGNC Symbol;Acc:HGNC:405]
ENSG00000108604_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]
ENSG00000108622_at	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]
ENSG00000108639_at	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]
ENSG00000108641_at	B9 protein domain 1 [Source:HGNC Symbol;Acc:HGNC:24123]
ENSG00000108651_at	UTP6, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:18279]
ENSG00000108654_at	DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]
ENSG00000108666_at	chromosome 17 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:30173]
ENSG00000108669_at	cytohesin 1 [Source:HGNC Symbol;Acc:HGNC:9501]
ENSG00000108671_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 [Source:HGNC Symbol;Acc:HGNC:9556]
ENSG00000108679_at	lectin, galactoside-binding, soluble, 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]
ENSG00000108684_at	acid sensing (proton gated) ion channel 2 [Source:HGNC Symbol;Acc:HGNC:99]
ENSG00000108688_at	chemokine (C-C motif) ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]
ENSG00000108691_at	chemokine (C-C motif) ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]
ENSG00000108700_at	chemokine (C-C motif) ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]
ENSG00000108702_at	chemokine (C-C motif) ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]
ENSG00000108733_at	peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]
ENSG00000108759_at	keratin 32, type I [Source:HGNC Symbol;Acc:HGNC:6449]
ENSG00000108771_at	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:HGNC Symbol;Acc:HGNC:29517]
ENSG00000108773_at	K(lysine) acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]
ENSG00000108788_at	MLX, MAX dimerization protein [Source:HGNC Symbol;Acc:HGNC:11645]
ENSG00000108797_at	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]
ENSG00000108799_at	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]
ENSG00000108813_at	distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]
ENSG00000108821_at	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]
ENSG00000108823_at	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:HGNC:10805]
ENSG00000108828_at	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]
ENSG00000108829_at	leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]
ENSG00000108830_at	Rho family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:18315]
ENSG00000108839_at	arachidonate 12-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:429]
ENSG00000108840_at	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]
ENSG00000108846_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:HGNC:54]
ENSG00000108848_at	LUC7-like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]
ENSG00000108849_at	pancreatic polypeptide [Source:HGNC Symbol;Acc:HGNC:9327]
ENSG00000108852_at	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:HGNC Symbol;Acc:HGNC:7220]
ENSG00000108854_at	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]
ENSG00000108861_at	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]
ENSG00000108878_at	calcium channel, voltage-dependent, gamma subunit 1 [Source:HGNC Symbol;Acc:HGNC:1405]
ENSG00000108924_at	hepatic leukemia factor [Source:HGNC Symbol;Acc:HGNC:4977]
ENSG00000108932_at	solute carrier family 16, member 6 [Source:HGNC Symbol;Acc:HGNC:10927]
ENSG00000108946_at	protein kinase, cAMP-dependent, regulatory, type I, alpha [Source:HGNC Symbol;Acc:HGNC:9388]
ENSG00000108947_at	ephrin-B3 [Source:HGNC Symbol;Acc:HGNC:3228]
ENSG00000108953_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon [Source:HGNC Symbol;Acc:HGNC:12851]
ENSG00000108960_at	monocyte to macrophage differentiation-associated [Source:HGNC Symbol;Acc:HGNC:7153]
ENSG00000108961_at	RAN guanine nucleotide release factor [Source:HGNC Symbol;Acc:HGNC:17679]
ENSG00000108984_at	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]
ENSG00000109016_at	dehydrogenase/reductase (SDR family) member 7B [Source:HGNC Symbol;Acc:HGNC:24547]
ENSG00000109046_at	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]
ENSG00000109047_at	recoverin [Source:HGNC Symbol;Acc:HGNC:9937]
ENSG00000109061_at	myosin, heavy chain 1, skeletal muscle, adult [Source:HGNC Symbol;Acc:HGNC:7567]
ENSG00000109062_at	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1 [Source:HGNC Symbol;Acc:HGNC:11075]
ENSG00000109063_at	myosin, heavy chain 3, skeletal muscle, embryonic [Source:HGNC Symbol;Acc:HGNC:7573]
ENSG00000109065_at	N-acetyltransferase 9 (GCN5-related, putative) [Source:HGNC Symbol;Acc:HGNC:23133]
ENSG00000109066_at	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]
ENSG00000109079_at	tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:HGNC Symbol;Acc:HGNC:11894]
ENSG00000109083_at	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]
ENSG00000109084_at	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]
ENSG00000109089_at	cerebellar degeneration-related protein 2-like [Source:HGNC Symbol;Acc:HGNC:29999]
ENSG00000109099_at	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
ENSG00000109101_at	forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765]
ENSG00000109111_at	suppressor of Ty 6 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:11470]
ENSG00000109132_at	paired-like homeobox 2b [Source:HGNC Symbol;Acc:HGNC:9143]
ENSG00000109133_at	transmembrane protein 33 [Source:HGNC Symbol;Acc:HGNC:25541]
ENSG00000109158_at	gamma-aminobutyric acid (GABA) A receptor, alpha 4 [Source:HGNC Symbol;Acc:HGNC:4078]
ENSG00000109163_at	gonadotropin-releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4421]
ENSG00000109182_at	cell wall biogenesis 43 C-terminal homolog [Source:HGNC Symbol;Acc:HGNC:26133]
ENSG00000109184_at	DCN1, defective in cullin neddylation 1, domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28998]
ENSG00000109189_at	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]
ENSG00000109193_at	sulfotransferase family 1E, estrogen-preferring, member 1 [Source:HGNC Symbol;Acc:HGNC:11377]
ENSG00000109205_at	odontogenic, ameloblast asssociated [Source:HGNC Symbol;Acc:HGNC:26043]
ENSG00000109208_at	submaxillary gland androgen regulated protein 3A [Source:HGNC Symbol;Acc:HGNC:19216]
ENSG00000109220_at	cysteine-rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]
ENSG00000109255_at	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]
ENSG00000109270_at	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:HGNC Symbol;Acc:HGNC:15606]
ENSG00000109320_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Source:HGNC Symbol;Acc:HGNC:7794]
ENSG00000109321_at	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]
ENSG00000109323_at	mannosidase, beta A, lysosomal [Source:HGNC Symbol;Acc:HGNC:6831]
ENSG00000109332_at	ubiquitin-conjugating enzyme E2D 3 [Source:HGNC Symbol;Acc:HGNC:12476]
ENSG00000109339_at	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]
ENSG00000109381_at	E74-like factor 2 (ets domain transcription factor) [Source:HGNC Symbol;Acc:HGNC:3317]
ENSG00000109390_at	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa [Source:HGNC Symbol;Acc:HGNC:7705]
ENSG00000109424_at	uncoupling protein 1 (mitochondrial, proton carrier) [Source:HGNC Symbol;Acc:HGNC:12517]
ENSG00000109436_at	TBC1 domain family, member 9 (with GRAM domain) [Source:HGNC Symbol;Acc:HGNC:21710]
ENSG00000109445_at	zinc finger protein 330 [Source:HGNC Symbol;Acc:HGNC:15462]
ENSG00000109452_at	inositol polyphosphate-4-phosphatase, type II, 105kDa [Source:HGNC Symbol;Acc:HGNC:6075]
ENSG00000109458_at	GRB2-associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]
ENSG00000109466_at	kelch-like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]
ENSG00000109471_at	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]
ENSG00000109472_at	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]
ENSG00000109501_at	Wolfram syndrome 1 (wolframin) [Source:HGNC Symbol;Acc:HGNC:12762]
ENSG00000109511_at	annexin A10 [Source:HGNC Symbol;Acc:HGNC:534]
ENSG00000109519_at	GrpE-like 1, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:HGNC:19696]
ENSG00000109534_at	GAR1 homolog, ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]
ENSG00000109572_at	chloride channel, voltage-sensitive 3 [Source:HGNC Symbol;Acc:HGNC:2021]
ENSG00000109586_at	polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]
ENSG00000109606_at	DEAH (Asp-Glu-Ala-His) box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]
ENSG00000109610_at	superoxide dismutase 3, extracellular [Source:HGNC Symbol;Acc:HGNC:11181]
ENSG00000109654_at	tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]
ENSG00000109667_at	solute carrier family 2 (facilitated glucose transporter), member 9 [Source:HGNC Symbol;Acc:HGNC:13446]
ENSG00000109670_at	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:16712]
ENSG00000109674_at	nei-like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
ENSG00000109680_at	TBC1 domain family, member 19 [Source:HGNC Symbol;Acc:HGNC:25624]
ENSG00000109685_at	Wolf-Hirschhorn syndrome candidate 1 [Source:HGNC Symbol;Acc:HGNC:12766]
ENSG00000109705_at	NK3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:951]
ENSG00000109736_at	major facilitator superfamily domain containing 10 [Source:HGNC Symbol;Acc:HGNC:16894]
ENSG00000109738_at	glycine receptor, beta [Source:HGNC Symbol;Acc:HGNC:4329]
ENSG00000109743_at	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]
ENSG00000109756_at	Rap guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:16854]
ENSG00000109758_at	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]
ENSG00000109771_at	LRP2 binding protein [Source:HGNC Symbol;Acc:HGNC:25434]
ENSG00000109775_at	UFM1-specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]
ENSG00000109787_at	Kruppel-like factor 3 (basic) [Source:HGNC Symbol;Acc:HGNC:16516]
ENSG00000109794_at	family with sequence similarity 149, member A [Source:HGNC Symbol;Acc:HGNC:24527]
ENSG00000109805_at	non-SMC condensin I complex, subunit G [Source:HGNC Symbol;Acc:HGNC:24304]
ENSG00000109814_at	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]
ENSG00000109819_at	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]
ENSG00000109832_at	DEAD (Asp-Glu-Ala-Asp) box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]
ENSG00000109846_at	crystallin, alpha B [Source:HGNC Symbol;Acc:HGNC:2389]
ENSG00000109854_at	HIV-1 Tat interactive protein 2, 30kDa [Source:HGNC Symbol;Acc:HGNC:16637]
ENSG00000109861_at	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]
ENSG00000109906_at	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]
ENSG00000109911_at	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]
ENSG00000109917_at	ZPR1 zinc finger [Source:HGNC Symbol;Acc:HGNC:13051]
ENSG00000109919_at	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]
ENSG00000109920_at	formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]
ENSG00000109927_at	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]
ENSG00000109929_at	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]
ENSG00000109943_at	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]
ENSG00000109944_at	chromosome 11 open reading frame 63 [Source:HGNC Symbol;Acc:HGNC:26288]
ENSG00000109956_at	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]
ENSG00000109971_at	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:HGNC:5241]
ENSG00000109991_at	purinergic receptor P2X, ligand gated ion channel, 3 [Source:HGNC Symbol;Acc:HGNC:8534]
ENSG00000110002_at	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]
ENSG00000110011_at	DnaJ (Hsp40) homolog, subfamily C, member 4 [Source:HGNC Symbol;Acc:HGNC:5271]
ENSG00000110031_at	leupaxin [Source:HGNC Symbol;Acc:HGNC:14061]
ENSG00000110042_at	deltex 4, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:29151]
ENSG00000110046_at	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]
ENSG00000110047_at	EH-domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]
ENSG00000110048_at	oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]
ENSG00000110060_at	pseudouridylate synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]
ENSG00000110063_at	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]
ENSG00000110066_at	suppressor of variegation 4-20 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:24283]
ENSG00000110075_at	protein phosphatase 6, regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:1173]
ENSG00000110076_at	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
ENSG00000110077_at	membrane-spanning 4-domains, subfamily A, member 6A [Source:HGNC Symbol;Acc:HGNC:13375]
ENSG00000110079_at	membrane-spanning 4-domains, subfamily A, member 4A [Source:HGNC Symbol;Acc:HGNC:13371]
ENSG00000110080_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]
ENSG00000110090_at	carnitine palmitoyltransferase 1A (liver) [Source:HGNC Symbol;Acc:HGNC:2328]
ENSG00000110092_at	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
ENSG00000110104_at	coiled-coil domain containing 86 [Source:HGNC Symbol;Acc:HGNC:28359]
ENSG00000110107_at	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]
ENSG00000110108_at	transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]
ENSG00000110148_at	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]
ENSG00000110169_at	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]
ENSG00000110171_at	tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]
ENSG00000110172_at	cysteine and histidine-rich domain (CHORD) containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]
ENSG00000110195_at	folate receptor 1 (adult) [Source:HGNC Symbol;Acc:HGNC:3791]
ENSG00000110200_at	anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]
ENSG00000110203_at	folate receptor 3 (gamma) [Source:HGNC Symbol;Acc:HGNC:3795]
ENSG00000110218_at	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]
ENSG00000110237_at	Rho guanine nucleotide exchange factor (GEF) 17 [Source:HGNC Symbol;Acc:HGNC:21726]
ENSG00000110244_at	apolipoprotein A-IV [Source:HGNC Symbol;Acc:HGNC:602]
ENSG00000110245_at	apolipoprotein C-III [Source:HGNC Symbol;Acc:HGNC:610]
ENSG00000110274_at	centrosomal protein 164kDa [Source:HGNC Symbol;Acc:HGNC:29182]
ENSG00000110315_at	ring finger protein 141 [Source:HGNC Symbol;Acc:HGNC:21159]
ENSG00000110321_at	eukaryotic translation initiation factor 4 gamma, 2 [Source:HGNC Symbol;Acc:HGNC:3297]
ENSG00000110324_at	interleukin 10 receptor, alpha [Source:HGNC Symbol;Acc:HGNC:5964]
ENSG00000110330_at	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
ENSG00000110344_at	ubiquitination factor E4A [Source:HGNC Symbol;Acc:HGNC:12499]
ENSG00000110367_at	DEAD (Asp-Glu-Ala-Asp) box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]
ENSG00000110375_at	uroplakin 2 [Source:HGNC Symbol;Acc:HGNC:12579]
ENSG00000110395_at	Cbl proto-oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1541]
ENSG00000110400_at	poliovirus receptor-related 1 (herpesvirus entry mediator C) [Source:HGNC Symbol;Acc:HGNC:9706]
ENSG00000110422_at	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
ENSG00000110427_at	KIAA1549-like [Source:HGNC Symbol;Acc:HGNC:24836]
ENSG00000110429_at	F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]
ENSG00000110435_at	pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:HGNC:21350]
ENSG00000110436_at	solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10940]
ENSG00000110442_at	COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]
ENSG00000110446_at	solute carrier family 15 (oligopeptide transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:18068]
ENSG00000110448_at	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]
ENSG00000110484_at	secretoglobin, family 2A, member 2 [Source:HGNC Symbol;Acc:HGNC:7050]
ENSG00000110492_at	midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:HGNC:6972]
ENSG00000110497_at	autophagy/beclin-1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]
ENSG00000110514_at	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]
ENSG00000110583_at	N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25845]
ENSG00000110619_at	cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:1493]
ENSG00000110628_at	solute carrier family 22, member 18 [Source:HGNC Symbol;Acc:HGNC:10964]
ENSG00000110651_at	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]
ENSG00000110660_at	solute carrier family 35, member F2 [Source:HGNC Symbol;Acc:HGNC:23615]
ENSG00000110665_at	chromosome 11 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:13231]
ENSG00000110680_at	calcitonin-related polypeptide alpha [Source:HGNC Symbol;Acc:HGNC:1437]
ENSG00000110696_at	chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]
ENSG00000110697_at	phosphatidylinositol transfer protein, membrane-associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]
ENSG00000110711_at	aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]
ENSG00000110713_at	nucleoporin 98kDa [Source:HGNC Symbol;Acc:HGNC:8068]
ENSG00000110717_at	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7715]
ENSG00000110719_at	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 [Source:HGNC Symbol;Acc:HGNC:11647]
ENSG00000110721_at	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]
ENSG00000110723_at	exophilin 5 [Source:HGNC Symbol;Acc:HGNC:30578]
ENSG00000110756_at	Hermansky-Pudlak syndrome 5 [Source:HGNC Symbol;Acc:HGNC:17022]
ENSG00000110768_at	general transcription factor IIH, polypeptide 1, 62kDa [Source:HGNC Symbol;Acc:HGNC:4655]
ENSG00000110777_at	POU class 2 associating factor 1 [Source:HGNC Symbol;Acc:HGNC:9211]
ENSG00000110799_at	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]
ENSG00000110811_at	prolyl 3-hydroxylase 3 [Source:HGNC Symbol;Acc:HGNC:19318]
ENSG00000110841_at	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:HGNC:9249]
ENSG00000110848_at	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]
ENSG00000110851_at	PR domain containing 4 [Source:HGNC Symbol;Acc:HGNC:9348]
ENSG00000110852_at	C-type lectin domain family 2, member B [Source:HGNC Symbol;Acc:HGNC:2053]
ENSG00000110876_at	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]
